gen,avg,max
0,0.44865,0.5725
1,0.46009999999999995,0.5425
2,0.46314999999999995,0.5725
3,0.48739999999999994,0.56
4,0.48324999999999996,0.595
5,0.49095,0.6025
6,0.48064999999999997,0.5525
7,0.4921,0.6275
8,0.5115,0.565
9,0.5043,0.5925
10,0.49269999999999997,0.5725
11,0.5032000000000001,0.5775
12,0.5064,0.5875
13,0.4997,0.57
14,0.489,0.5875
15,0.49334999999999996,0.555
16,0.5045499999999999,0.575
17,0.48605,0.5725
18,0.5145000000000001,0.575
19,0.5023000000000001,0.565
20,0.47424999999999995,0.59
21,0.49634999999999996,0.585
22,0.5096,0.5775
23,0.5126000000000001,0.5675
24,0.5013500000000001,0.5875
25,0.50075,0.5775
26,0.5084,0.565
27,0.4960500000000001,0.5625
28,0.48774999999999996,0.6175
29,0.5061500000000001,0.5875
30,0.5097999999999999,0.5975
31,0.5059,0.5625
32,0.5115499999999998,0.61
33,0.5134500000000001,0.605
34,0.51285,0.6325
35,0.482,0.6075
36,0.5002,0.5725
37,0.49160000000000004,0.55
38,0.49674999999999997,0.58
39,0.48869999999999997,0.6
40,0.48485000000000006,0.56
41,0.5032000000000001,0.575
42,0.5043500000000001,0.585
43,0.49940000000000007,0.55
44,0.50225,0.5725
45,0.5032500000000001,0.63
46,0.4951,0.6275
47,0.5085,0.615
48,0.5090499999999999,0.5575
49,0.501,0.5775
