gen,avg,max
0,0.4304833333333334,0.7125
1,0.47161666666666674,0.665
2,0.5011166666666665,0.6675
3,0.5214166666666666,0.6675
4,0.5186,0.66
5,0.5411999999999999,0.6575
6,0.5471,0.7175
7,0.5670166666666667,0.6525
8,0.5470666666666667,0.65
9,0.5419666666666666,0.6975
10,0.5641999999999999,0.6675
11,0.5750833333333335,0.655
12,0.5631999999999999,0.7125
13,0.5781000000000001,0.6675
14,0.59005,0.7
15,0.6019166666666668,0.7125
16,0.6076166666666666,0.7
17,0.6237833333333334,0.7125
18,0.6261833333333334,0.7
19,0.6053000000000001,0.6675
20,0.6132500000000001,0.6775
21,0.6056666666666668,0.6775
22,0.6113333333333333,0.6775
23,0.6093333333333334,0.6775
24,0.6107,0.6775
25,0.6189333333333334,0.6675
26,0.61235,0.6675
27,0.6185166666666667,0.6775
28,0.6126666666666666,0.6775
29,0.5996833333333333,0.6775
30,0.5996000000000001,0.69
31,0.6056166666666669,0.6775
32,0.6071666666666666,0.695
33,0.6098499999999999,0.6875
34,0.6052,0.7025
35,0.6072166666666666,0.68
36,0.5991333333333334,0.6725
37,0.6012166666666665,0.77
38,0.6125666666666666,0.695
39,0.6154000000000001,0.7075
40,0.6107166666666667,0.7075
41,0.60865,0.77
42,0.6052666666666666,0.77
43,0.6287,0.77
44,0.61505,0.77
45,0.6254333333333333,0.77
46,0.6142333333333333,0.7025
47,0.6169333333333333,0.77
48,0.6211333333333333,0.77
49,0.63955,0.77
