gen,avg,max
0,0.4463333333333333,0.6833333333333333
1,0.4393333333333333,0.6666666666666666
2,0.4388333333333334,0.7333333333333333
3,0.4219999999999999,0.7166666666666667
4,0.44066666666666665,0.6333333333333333
5,0.4358333333333333,0.7166666666666667
6,0.4508333333333334,0.6333333333333333
7,0.44799999999999995,0.6666666666666666
8,0.45199999999999996,0.6333333333333333
9,0.43866666666666665,0.75
10,0.4395,0.6333333333333333
11,0.4243333333333334,0.7333333333333333
12,0.4371666666666666,0.6833333333333333
13,0.43700000000000006,0.6833333333333333
14,0.4296666666666667,0.7166666666666667
15,0.42733333333333334,0.6833333333333333
16,0.4435,0.7
17,0.4281666666666667,0.6333333333333333
18,0.44916666666666666,0.6666666666666666
19,0.4285,0.65
20,0.42533333333333334,0.7833333333333333
21,0.45000000000000007,0.7166666666666667
22,0.42716666666666664,0.6833333333333333
23,0.45133333333333325,0.65
24,0.45116666666666666,0.7833333333333333
25,0.4368333333333333,0.6333333333333333
26,0.4370000000000001,0.6333333333333333
27,0.43550000000000005,0.7833333333333333
28,0.4576666666666666,0.7166666666666667
29,0.4401666666666667,0.65
30,0.44199999999999995,0.7
31,0.43800000000000006,0.6833333333333333
32,0.4376666666666667,0.65
33,0.42483333333333334,0.7166666666666667
34,0.4423333333333334,0.7166666666666667
35,0.44866666666666677,0.7166666666666667
36,0.4206666666666667,0.7333333333333333
37,0.44300000000000006,0.7666666666666667
38,0.4619999999999999,0.7
39,0.44999999999999996,0.7333333333333333
40,0.43316666666666664,0.6833333333333333
41,0.4496666666666666,0.7166666666666667
42,0.43383333333333335,0.7166666666666667
43,0.4096666666666666,0.6666666666666666
44,0.43383333333333335,0.7
45,0.4231666666666667,0.6833333333333333
46,0.4568333333333333,0.7
47,0.42883333333333334,0.6833333333333333
48,0.43249999999999994,0.7166666666666667
49,0.4268333333333333,0.7166666666666667
