gen,avg,max
0,0.4394333333333334,0.725
1,0.4782499999999999,0.6825
2,0.5076833333333334,0.675
3,0.5239,0.675
4,0.5317500000000002,0.675
5,0.5644666666666667,0.675
6,0.5682666666666667,0.675
7,0.5762666666666667,0.7
8,0.5636000000000001,0.7025
9,0.6028666666666667,0.7125
10,0.5914833333333334,0.7175
11,0.6038000000000001,0.7275
12,0.6026666666666667,0.715
13,0.6061333333333333,0.72
14,0.6072166666666667,0.7275
15,0.6155333333333332,0.7175
16,0.6075833333333334,0.675
17,0.60435,0.7
18,0.6167333333333334,0.7025
19,0.6127666666666666,0.7175
20,0.5980833333333334,0.7025
21,0.6098333333333333,0.7
22,0.6016333333333332,0.7
23,0.6059333333333333,0.7175
24,0.6091166666666668,0.7425
25,0.6076333333333334,0.7175
26,0.60145,0.7425
27,0.6285499999999999,0.7425
28,0.6178833333333333,0.7425
29,0.6227666666666666,0.7425
30,0.6148499999999999,0.7425
31,0.6208666666666667,0.7425
32,0.6296499999999999,0.7425
33,0.5955833333333332,0.7025
34,0.6129666666666667,0.7425
35,0.6250500000000001,0.72
36,0.6018333333333333,0.7425
37,0.62895,0.7425
38,0.6245666666666667,0.7425
39,0.5957333333333333,0.7425
40,0.6078666666666667,0.7425
41,0.6020333333333334,0.7425
42,0.6043333333333333,0.7425
43,0.6054166666666667,0.7425
44,0.60235,0.7425
45,0.6175499999999999,0.7425
46,0.60795,0.7425
47,0.5929500000000001,0.7425
48,0.6159666666666668,0.7425
49,0.6025499999999999,0.7425
