gen,avg,max
0,0.4343333333333333,0.7666666666666667
1,0.4563333333333333,0.7
2,0.4458333333333333,0.7333333333333333
3,0.44658333333333333,0.7
4,0.4445833333333333,0.7
5,0.4385,0.7
6,0.4475,0.7
7,0.4370833333333334,0.7166666666666667
8,0.42924999999999996,0.7
9,0.4369166666666667,0.7833333333333333
10,0.44049999999999995,0.6833333333333333
11,0.4471666666666667,0.7333333333333333
12,0.4240833333333333,0.6666666666666666
13,0.4431666666666667,0.7
14,0.44458333333333333,0.7833333333333333
15,0.46,0.7166666666666667
16,0.44,0.7
17,0.4275833333333334,0.7
18,0.42474999999999996,0.6666666666666666
19,0.4304166666666667,0.7333333333333333
20,0.45858333333333334,0.75
21,0.43650000000000005,0.7166666666666667
22,0.45016666666666666,0.75
23,0.4661666666666667,0.8
24,0.4340833333333333,0.7
25,0.45183333333333336,0.7333333333333333
26,0.44958333333333333,0.8
27,0.458,0.6666666666666666
28,0.43700000000000006,0.6833333333333333
29,0.45366666666666666,0.7166666666666667
30,0.43849999999999995,0.7166666666666667
31,0.4475,0.6833333333333333
32,0.45108333333333334,0.65
33,0.4396666666666667,0.7333333333333333
34,0.445,0.6333333333333333
35,0.45050000000000007,0.75
36,0.45175,0.6833333333333333
37,0.4459166666666667,0.6833333333333333
38,0.44349999999999995,0.7166666666666667
39,0.45766666666666667,0.7666666666666667
40,0.4240833333333333,0.7833333333333333
41,0.4393333333333333,0.6833333333333333
42,0.44575000000000004,0.7
43,0.47391666666666665,0.7666666666666667
44,0.47733333333333333,0.7
45,0.45300000000000007,0.7166666666666667
46,0.39941666666666664,0.7166666666666667
47,0.44983333333333336,0.75
48,0.44583333333333336,0.7
49,0.4581666666666667,0.7333333333333333
