gen,avg,max
0,0.42266666666666675,0.7
1,0.4355,0.65
2,0.439,0.6166666666666667
3,0.44916666666666666,0.6666666666666666
4,0.4438333333333333,0.7833333333333333
5,0.4373333333333333,0.75
6,0.455,0.6666666666666666
7,0.42733333333333334,0.6833333333333333
8,0.45166666666666666,0.6833333333333333
9,0.44966666666666655,0.6666666666666666
10,0.435,0.6833333333333333
11,0.43316666666666664,0.6833333333333333
12,0.4631666666666666,0.8166666666666667
13,0.4654999999999999,0.6666666666666666
14,0.43683333333333335,0.6833333333333333
15,0.4558333333333333,0.75
16,0.4356666666666667,0.7333333333333333
17,0.46716666666666673,0.6833333333333333
18,0.4531666666666668,0.7333333333333333
19,0.4385000000000001,0.6833333333333333
20,0.4541666666666668,0.7666666666666667
21,0.4481666666666667,0.6666666666666666
22,0.42283333333333323,0.6833333333333333
23,0.4524999999999999,0.65
24,0.46016666666666667,0.6333333333333333
25,0.4333333333333333,0.75
26,0.4561666666666666,0.6333333333333333
27,0.451,0.75
28,0.43800000000000006,0.65
29,0.44400000000000006,0.7333333333333333
30,0.4556666666666667,0.6833333333333333
31,0.46116666666666667,0.7
32,0.4478333333333333,0.6666666666666666
33,0.44833333333333336,0.6833333333333333
34,0.4495,0.6833333333333333
35,0.4538333333333333,0.7
36,0.4475,0.65
37,0.4745,0.75
38,0.4458333333333333,0.7166666666666667
39,0.45866666666666667,0.7166666666666667
40,0.4371666666666666,0.6833333333333333
41,0.4391666666666666,0.6333333333333333
42,0.4691666666666666,0.6666666666666666
43,0.42633333333333334,0.8
44,0.4485,0.6833333333333333
45,0.4506666666666667,0.6833333333333333
46,0.4589999999999999,0.7166666666666667
47,0.4751666666666668,0.65
48,0.4461666666666666,0.6833333333333333
49,0.4165,0.65
