gen,avg,max
0,0.4321666666666667,0.6833333333333333
1,0.45366666666666666,0.7166666666666667
2,0.44933333333333336,0.7166666666666667
3,0.4636666666666665,0.7
4,0.4371666666666667,0.6666666666666666
5,0.4446666666666667,0.65
6,0.4413333333333334,0.6666666666666666
7,0.45399999999999996,0.7
8,0.461,0.6833333333333333
9,0.4675,0.7333333333333333
10,0.44966666666666666,0.6666666666666666
11,0.45050000000000007,0.75
12,0.4208333333333333,0.6833333333333333
13,0.4305,0.6833333333333333
14,0.4341666666666667,0.6333333333333333
15,0.44666666666666666,0.7666666666666667
16,0.45066666666666655,0.6166666666666667
17,0.4515,0.7666666666666667
18,0.4461666666666666,0.6833333333333333
19,0.4851666666666666,0.7
20,0.45383333333333326,0.7333333333333333
21,0.4143333333333334,0.7
22,0.4335,0.7166666666666667
23,0.45250000000000007,0.7
24,0.45266666666666666,0.6666666666666666
25,0.4593333333333333,0.6833333333333333
26,0.4491666666666667,0.6666666666666666
27,0.46583333333333327,0.7166666666666667
28,0.4576666666666667,0.7166666666666667
29,0.4783333333333333,0.7833333333333333
30,0.45049999999999996,0.7333333333333333
31,0.44733333333333336,0.6333333333333333
32,0.45199999999999996,0.65
33,0.44349999999999995,0.6666666666666666
34,0.44300000000000006,0.65
35,0.44583333333333336,0.7666666666666667
36,0.44833333333333336,0.7166666666666667
37,0.45233333333333337,0.7166666666666667
38,0.485,0.6666666666666666
39,0.4546666666666666,0.7
40,0.4246666666666667,0.75
41,0.4655,0.7166666666666667
42,0.43500000000000005,0.6333333333333333
43,0.46916666666666673,0.7
44,0.4493333333333333,0.65
45,0.42816666666666664,0.7166666666666667
46,0.4613333333333333,0.6666666666666666
47,0.43916666666666665,0.65
48,0.4446666666666667,0.7166666666666667
49,0.44766666666666666,0.7
