gen,avg,max
0,0.44504999999999995,0.615
1,0.45431666666666654,0.6275
2,0.49863333333333326,0.66
3,0.5115,0.675
4,0.5314666666666666,0.675
5,0.5445833333333333,0.6475
6,0.5506166666666666,0.6775
7,0.5236000000000001,0.6575
8,0.5569833333333333,0.665
9,0.5573666666666666,0.685
10,0.5491333333333334,0.6675
11,0.5458666666666666,0.6675
12,0.5583999999999999,0.6925
13,0.5709166666666667,0.6625
14,0.5752499999999999,0.6775
15,0.5747166666666668,0.655
16,0.5861833333333334,0.675
17,0.5796166666666667,0.6775
18,0.5762333333333334,0.645
19,0.5808333333333333,0.6625
20,0.5892333333333335,0.6925
21,0.5666833333333333,0.6625
22,0.5793,0.65
23,0.5787166666666668,0.655
24,0.5761,0.66
25,0.5780666666666667,0.65
26,0.56965,0.6925
27,0.5848666666666666,0.6925
28,0.5861333333333334,0.6925
29,0.5763833333333334,0.67
30,0.5892833333333333,0.675
31,0.5886499999999999,0.6625
32,0.58935,0.645
33,0.58085,0.6925
34,0.5935666666666667,0.645
35,0.5829166666666666,0.65
36,0.5917833333333334,0.6925
37,0.5846333333333333,0.6925
38,0.5799166666666666,0.6925
39,0.5812999999999999,0.6925
40,0.5785499999999999,0.6675
41,0.5909000000000001,0.6675
42,0.5752166666666667,0.6925
43,0.5602833333333334,0.6925
44,0.5738666666666667,0.6675
45,0.5702166666666666,0.6925
46,0.5846833333333332,0.7025
47,0.5588333333333334,0.6475
48,0.5827166666666667,0.6925
49,0.5922333333333332,0.6925
