gen,avg,max
0,0.44383333333333325,0.7166666666666667
1,0.4431666666666667,0.7
2,0.44733333333333336,0.7166666666666667
3,0.446,0.6666666666666666
4,0.4340000000000001,0.7
5,0.43366666666666664,0.7166666666666667
6,0.46116666666666667,0.6833333333333333
7,0.44683333333333336,0.7
8,0.43550000000000005,0.7166666666666667
9,0.4431666666666667,0.65
10,0.45050000000000007,0.6666666666666666
11,0.44299999999999995,0.7
12,0.47350000000000003,0.7666666666666667
13,0.4446666666666666,0.7
14,0.46049999999999996,0.7
15,0.4375,0.7166666666666667
16,0.43300000000000005,0.7
17,0.46416666666666656,0.6833333333333333
18,0.4221666666666665,0.6333333333333333
19,0.46449999999999997,0.7166666666666667
20,0.45483333333333337,0.7
21,0.43283333333333324,0.6333333333333333
22,0.44733333333333336,0.75
23,0.44416666666666665,0.6333333333333333
24,0.45433333333333337,0.7333333333333333
25,0.4445,0.7166666666666667
26,0.4285,0.6166666666666667
27,0.456,0.7
28,0.46016666666666667,0.6833333333333333
29,0.4438333333333333,0.6666666666666666
30,0.4413333333333334,0.6833333333333333
31,0.4368333333333333,0.6833333333333333
32,0.4494999999999999,0.6666666666666666
33,0.44599999999999995,0.7166666666666667
34,0.44616666666666666,0.6666666666666666
35,0.43816666666666676,0.6833333333333333
36,0.43883333333333324,0.7
37,0.44050000000000006,0.6666666666666666
38,0.43683333333333335,0.7333333333333333
39,0.46399999999999997,0.7
40,0.4428333333333333,0.6166666666666667
41,0.43966666666666676,0.7166666666666667
42,0.44083333333333335,0.6833333333333333
43,0.4471666666666666,0.6833333333333333
44,0.4443333333333333,0.7833333333333333
45,0.44866666666666677,0.6666666666666666
46,0.4483333333333333,0.7
47,0.4641666666666667,0.7666666666666667
48,0.44350000000000006,0.6833333333333333
49,0.44349999999999995,0.65
