gen,avg,max
0,0.43238333333333323,0.625
1,0.4744833333333333,0.625
2,0.48935,0.64
3,0.49178333333333324,0.595
4,0.4875333333333334,0.6525
5,0.5130499999999999,0.6275
6,0.49531666666666674,0.6975
7,0.5015833333333333,0.65
8,0.5007333333333334,0.65
9,0.5090833333333333,0.6975
10,0.5093333333333334,0.66
11,0.5055166666666667,0.625
12,0.5352833333333332,0.66
13,0.5037999999999999,0.66
14,0.5321,0.66
15,0.52875,0.6275
16,0.5430166666666667,0.66
17,0.5438166666666668,0.6275
18,0.5650333333333333,0.66
19,0.5218333333333334,0.66
20,0.5298666666666666,0.66
21,0.51075,0.66
22,0.5180166666666668,0.66
23,0.5241833333333332,0.66
24,0.5503833333333334,0.66
25,0.5406333333333332,0.66
26,0.5399166666666666,0.66
27,0.5088666666666666,0.66
28,0.5097666666666666,0.635
29,0.5277833333333333,0.66
30,0.5102999999999999,0.66
31,0.5652833333333332,0.66
32,0.5132666666666665,0.6325
33,0.5453333333333332,0.66
34,0.5210333333333333,0.66
35,0.5211333333333332,0.66
36,0.5369833333333335,0.66
37,0.5355333333333333,0.66
38,0.5222833333333333,0.6725
39,0.53805,0.6725
40,0.5353166666666667,0.66
41,0.5414499999999999,0.66
42,0.53195,0.6725
43,0.53575,0.66
44,0.5482500000000001,0.64
45,0.55755,0.64
46,0.5461333333333334,0.71
47,0.5374500000000001,0.71
48,0.5426833333333334,0.64
49,0.55165,0.64
