gen,avg,max
0,0.43450000000000005,0.7
1,0.42833333333333334,0.6666666666666666
2,0.4446666666666666,0.6666666666666666
3,0.4393333333333333,0.8
4,0.4628333333333334,0.7833333333333333
5,0.42583333333333334,0.6666666666666666
6,0.4619999999999998,0.7833333333333333
7,0.42233333333333334,0.5833333333333334
8,0.43799999999999994,0.7333333333333333
9,0.4485,0.7
10,0.43400000000000005,0.65
11,0.43333333333333335,0.6833333333333333
12,0.39266666666666666,0.65
13,0.4415,0.7333333333333333
14,0.42883333333333334,0.7166666666666667
15,0.4346666666666667,0.7333333333333333
16,0.4333333333333333,0.7666666666666667
17,0.44600000000000006,0.7
18,0.4403333333333333,0.7
19,0.4438333333333333,0.65
20,0.441,0.7666666666666667
21,0.4246666666666667,0.6333333333333333
22,0.4581666666666667,0.6666666666666666
23,0.4498333333333334,0.6
24,0.4531666666666667,0.6333333333333333
25,0.4731666666666667,0.75
26,0.4601666666666667,0.7833333333333333
27,0.42283333333333334,0.6333333333333333
28,0.447,0.6666666666666666
29,0.46599999999999997,0.7
30,0.4616666666666667,0.7166666666666667
31,0.45100000000000007,0.7
32,0.4501666666666666,0.6666666666666666
33,0.43066666666666664,0.6166666666666667
34,0.4586666666666667,0.7
35,0.44949999999999996,0.65
36,0.44533333333333336,0.65
37,0.4593333333333333,0.6333333333333333
38,0.43916666666666665,0.65
39,0.4418333333333333,0.6666666666666666
40,0.45433333333333326,0.7333333333333333
41,0.45783333333333337,0.7333333333333333
42,0.4545,0.7166666666666667
43,0.42883333333333334,0.7166666666666667
44,0.4421666666666667,0.6333333333333333
45,0.4428333333333334,0.65
46,0.45616666666666666,0.7833333333333333
47,0.42050000000000004,0.6833333333333333
48,0.45299999999999996,0.7
49,0.4416666666666667,0.6666666666666666
