gen,avg,max
0,0.4528166666666666,0.645
1,0.4587166666666666,0.6375
2,0.4791000000000001,0.6075
3,0.49116666666666675,0.625
4,0.5028666666666666,0.645
5,0.5129833333333332,0.6575
6,0.5196333333333333,0.665
7,0.5214833333333333,0.655
8,0.5123333333333333,0.665
9,0.5289,0.665
10,0.4957166666666667,0.6825
11,0.4898666666666666,0.705
12,0.5142666666666666,0.6925
13,0.4915166666666667,0.7075
14,0.5135166666666667,0.7125
15,0.5088500000000001,0.7125
16,0.49689999999999995,0.66
17,0.5288999999999998,0.665
18,0.5344166666666667,0.7075
19,0.5506,0.7275
20,0.5532166666666666,0.7075
21,0.5487166666666666,0.6725
22,0.5421166666666667,0.6875
23,0.5425333333333333,0.6875
24,0.5464666666666667,0.67
25,0.5214666666666666,0.6775
26,0.5239666666666667,0.6775
27,0.5340666666666666,0.7025
28,0.5280666666666666,0.6725
29,0.51595,0.6775
30,0.5310999999999999,0.69
31,0.54345,0.6825
32,0.5474166666666666,0.6925
33,0.5167666666666668,0.7275
34,0.5444666666666668,0.7275
35,0.5342666666666668,0.67
36,0.5534833333333334,0.6825
37,0.5410833333333332,0.68
38,0.54145,0.6875
39,0.5278999999999999,0.655
40,0.5236833333333334,0.67
41,0.5253666666666665,0.7325
42,0.5248499999999999,0.7325
43,0.5280166666666668,0.6975
44,0.5526833333333333,0.7325
45,0.5281999999999999,0.67
46,0.5172333333333332,0.67
47,0.5151666666666667,0.7325
48,0.5283500000000001,0.69
49,0.5201333333333334,0.7175
50,0.5048,0.7025
51,0.5376,0.67
52,0.5148,0.7025
53,0.5213,0.7025
54,0.5291166666666667,0.7025
55,0.49915000000000004,0.7025
56,0.5374333333333334,0.7175
57,0.5554166666666667,0.7025
58,0.6110333333333333,0.71
59,0.5827,0.7175
60,0.5426666666666666,0.7025
61,0.5432833333333333,0.7175
62,0.50075,0.7175
63,0.5206000000000001,0.7025
64,0.5642333333333333,0.7325
65,0.5613499999999999,0.7025
66,0.5567666666666667,0.7175
67,0.5401166666666667,0.7175
68,0.5574000000000001,0.7175
69,0.5788500000000001,0.7025
70,0.5825833333333333,0.7175
71,0.5836500000000001,0.7025
72,0.5815166666666668,0.7175
73,0.5695833333333333,0.7025
74,0.5783666666666666,0.7025
75,0.56485,0.7025
76,0.5757666666666668,0.7025
77,0.5794333333333332,0.7025
78,0.5759000000000001,0.7025
79,0.58135,0.7025
80,0.5835333333333335,0.7025
81,0.58455,0.7025
82,0.5761833333333334,0.7025
83,0.5798166666666666,0.7025
84,0.5797833333333334,0.7025
85,0.57655,0.7025
86,0.5739333333333334,0.7025
87,0.5922000000000001,0.7025
88,0.5682333333333335,0.7025
89,0.5811499999999999,0.7025
90,0.57685,0.7025
91,0.5855166666666666,0.7025
92,0.5755166666666668,0.7025
93,0.5893666666666667,0.7025
94,0.5887166666666668,0.7025
95,0.5828833333333333,0.7025
96,0.5850166666666667,0.7025
97,0.5998166666666667,0.7025
98,0.5763166666666667,0.7025
99,0.58905,0.7025
