gen,avg,max
0,0.44700000000000006,0.7166666666666667
1,0.443,0.6666666666666666
2,0.43322222222222223,0.7
3,0.43711111111111106,0.8166666666666667
4,0.4426666666666667,0.7
5,0.456,0.6833333333333333
6,0.45466666666666666,0.6833333333333333
7,0.4271111111111111,0.6166666666666667
8,0.46166666666666667,0.7333333333333333
9,0.4547777777777778,0.7333333333333333
10,0.45044444444444454,0.6833333333333333
11,0.44855555555555554,0.7166666666666667
12,0.44100000000000006,0.7166666666666667
13,0.44366666666666676,0.6666666666666666
14,0.45088888888888895,0.8
15,0.4507777777777777,0.65
16,0.4480000000000001,0.7166666666666667
17,0.43933333333333335,0.6833333333333333
18,0.4592222222222222,0.7
19,0.45633333333333326,0.65
20,0.4407777777777777,0.7
21,0.4425555555555555,0.7333333333333333
22,0.45399999999999996,0.6833333333333333
23,0.4225555555555556,0.6833333333333333
24,0.4455555555555556,0.7166666666666667
25,0.4583333333333333,0.75
26,0.4315555555555556,0.7166666666666667
27,0.45433333333333337,0.6833333333333333
28,0.43744444444444447,0.6666666666666666
29,0.45855555555555555,0.7166666666666667
30,0.42833333333333334,0.7
31,0.4292222222222223,0.7333333333333333
32,0.45322222222222214,0.7333333333333333
33,0.4354444444444444,0.6166666666666667
34,0.4574444444444444,0.8
35,0.42499999999999993,0.7666666666666667
36,0.44666666666666666,0.6833333333333333
37,0.4693333333333334,0.6833333333333333
38,0.4297777777777778,0.6666666666666666
39,0.44,0.6666666666666666
40,0.4552222222222222,0.7166666666666667
41,0.45855555555555555,0.75
42,0.44433333333333336,0.75
43,0.43288888888888893,0.6333333333333333
44,0.45655555555555555,0.65
45,0.4474444444444445,0.6333333333333333
46,0.4307777777777778,0.7833333333333333
47,0.4451111111111111,0.7333333333333333
48,0.4396666666666667,0.7166666666666667
49,0.43344444444444435,0.65
